0.093342	phi1	0
0.093342	rbs	0
0.093342	ribosome	100
0.093342	rnapol	9
1.012667	phi1	0
1.012667	rbs	1
1.012667	ribosome	99
1.012667	rnapol	7
1.999269	phi1	1
1.999269	rbs	1
1.999269	ribosome	97
1.999269	rnapol	6
2.999777	phi1	1
2.999777	rbs	5
2.999777	ribosome	92
2.999777	rnapol	4
3.999975	phi1	0
3.999975	rbs	3
3.999975	ribosome	86
3.999975	rnapol	3
4.999383	phi1	1
4.999383	rbs	2
4.999383	ribosome	79
4.999383	rnapol	3
5.999675	phi1	0
5.999675	rbs	3
5.999675	ribosome	71
5.999675	rnapol	2
6.999230	phi1	1
6.999230	rbs	5
6.999230	ribosome	62
6.999230	rnapol	1
7.999289	phi1	1
7.999289	rbs	8
7.999289	ribosome	53
7.999289	rnapol	2
9.000239	phi1	0
9.000239	proteinX	3
9.000239	rbs	11
9.000239	ribosome	50
9.000239	rnapol	4
9.999641	phi1	1
9.999641	proteinX	4
9.999641	rbs	15
9.999641	ribosome	41
9.999641	rnapol	6
11.000327	phi1	1
11.000327	proteinX	11
11.000327	rbs	11
11.000327	ribosome	36
11.000327	rnapol	13
11.999149	phi1	1
11.999149	proteinX	15
11.999149	rbs	24
11.999149	ribosome	32
11.999149	rnapol	16
12.999090	phi1	1
12.999090	proteinX	19
12.999090	rbs	24
12.999090	ribosome	30
12.999090	rnapol	26
13.999335	phi1	1
13.999335	proteinX	23
13.999335	rbs	23
13.999335	ribosome	23
13.999335	rnapol	30
14.999033	phi1	0
14.999033	proteinX	24
14.999033	rbs	31
14.999033	ribosome	17
14.999033	rnapol	33
15.999655	phi1	0
15.999655	proteinX	30
15.999655	rbs	33
15.999655	ribosome	13
15.999655	rnapol	38
16.999120	phi1	0
16.999120	proteinX	35
16.999120	rbs	41
16.999120	ribosome	13
16.999120	rnapol	40
17.999240	phi1	0
17.999240	proteinX	39
17.999240	proteinY	1
17.999240	rbs	46
17.999240	ribosome	15
17.999240	rnapol	51
18.999439	phi1	0
18.999439	proteinX	42
18.999439	proteinY	2
18.999439	rbs	49
18.999439	ribosome	13
18.999439	rnapol	56
19.999593	phi1	0
19.999593	proteinX	48
19.999593	proteinY	3
19.999593	rbs	56
19.999593	ribosome	14
19.999593	rnapol	65
20.999360	phi1	0
20.999360	proteinX	55
20.999360	proteinY	6
20.999360	rbs	66
20.999360	ribosome	22
20.999360	rnapol	72
21.999253	phi1	0
21.999253	proteinX	59
21.999253	proteinY	11
21.999253	rbs	57
21.999253	ribosome	11
21.999253	rnapol	79
22.999242	phi1	0
22.999242	proteinX	65
22.999242	proteinY	15
22.999242	rbs	75
22.999242	ribosome	14
22.999242	rnapol	83
23.999264	phi1	0
23.999264	proteinX	75
23.999264	proteinY	18
23.999264	rbs	79
23.999264	ribosome	10
23.999264	rnapol	83
24.999582	phi1	0
24.999582	proteinX	78
24.999582	proteinY	20
24.999582	rbs	91
24.999582	ribosome	9
24.999582	rnapol	88
25.999638	phi1	0
25.999638	proteinX	83
25.999638	proteinY	24
25.999638	rbs	94
25.999638	ribosome	9
25.999638	rnapol	91
26.999190	phi1	0
26.999190	proteinX	87
26.999190	proteinY	27
26.999190	rbs	102
26.999190	ribosome	6
26.999190	rnapol	95
27.999066	phi1	0
27.999066	proteinX	90
27.999066	proteinY	33
27.999066	rbs	107
27.999066	ribosome	8
27.999066	rnapol	102
28.999344	phi1	0
28.999344	proteinX	95
28.999344	proteinY	35
28.999344	rbs	110
28.999344	ribosome	8
28.999344	rnapol	117
29.999026	phi1	0
29.999026	proteinX	101
29.999026	proteinY	38
29.999026	rbs	120
29.999026	ribosome	11
29.999026	rnapol	123
30.999416	phi1	0
30.999416	proteinX	108
30.999416	proteinY	42
30.999416	rbs	125
30.999416	ribosome	9
30.999416	rnapol	129
31.999365	phi1	0
31.999365	proteinX	111
31.999365	proteinY	46
31.999365	rbs	135
31.999365	ribosome	6
31.999365	rnapol	131
32.999008	phi1	0
32.999008	proteinX	119
32.999008	proteinY	49
32.999008	rbs	142
32.999008	ribosome	4
32.999008	rnapol	134
33.999189	phi1	0
33.999189	proteinX	121
33.999189	proteinY	52
33.999189	rbs	147
33.999189	ribosome	2
33.999189	rnapol	145
34.999372	phi1	0
34.999372	proteinX	131
34.999372	proteinY	56
34.999372	rbs	154
34.999372	ribosome	3
34.999372	rnapol	148
35.999025	phi1	0
35.999025	proteinX	134
35.999025	proteinY	58
35.999025	rbs	164
35.999025	ribosome	3
35.999025	rnapol	160
36.999079	phi1	0
36.999079	proteinX	141
36.999079	proteinY	63
36.999079	rbs	166
36.999079	ribosome	8
36.999079	rnapol	169
37.999381	phi1	0
37.999381	proteinX	145
37.999381	proteinY	70
37.999381	rbs	179
37.999381	ribosome	7
37.999381	rnapol	174
38.999056	phi1	0
38.999056	proteinX	152
38.999056	proteinY	72
38.999056	rbs	185
38.999056	ribosome	7
38.999056	rnapol	178
39.999889	phi1	0
39.999889	proteinX	155
39.999889	proteinY	75
39.999889	rbs	191
39.999889	ribosome	4
39.999889	rnapol	184
40.999093	phi1	0
40.999093	proteinX	160
40.999093	proteinY	79
40.999093	rbs	194
40.999093	ribosome	4
40.999093	rnapol	187
41.999303	phi1	0
41.999303	proteinX	165
41.999303	proteinY	81
41.999303	rbs	200
41.999303	ribosome	1
41.999303	rnapol	192
42.999190	phi1	0
42.999190	proteinX	171
42.999190	proteinY	88
42.999190	rbs	211
42.999190	ribosome	5
42.999190	rnapol	199
43.999375	phi1	0
43.999375	proteinX	177
43.999375	proteinY	96
43.999375	rbs	210
43.999375	ribosome	5
43.999375	rnapol	204
44.999127	phi1	0
44.999127	proteinX	180
44.999127	proteinY	100
44.999127	rbs	222
44.999127	ribosome	4
44.999127	rnapol	212
45.999040	phi1	0
45.999040	proteinX	185
45.999040	proteinY	104
45.999040	rbs	226
45.999040	ribosome	0
45.999040	rnapol	216
46.999063	phi1	0
46.999063	proteinX	188
46.999063	proteinY	111
46.999063	rbs	235
46.999063	ribosome	1
46.999063	rnapol	222
47.999869	phi1	0
47.999869	proteinX	190
47.999869	proteinY	118
47.999869	rbs	243
47.999869	ribosome	3
47.999869	rnapol	224
48.999314	phi1	0
48.999314	proteinX	191
48.999314	proteinY	122
48.999314	rbs	253
48.999314	ribosome	3
48.999314	rnapol	230
49.999109	phi1	0
49.999109	proteinX	193
49.999109	proteinY	124
49.999109	rbs	258
49.999109	ribosome	1
49.999109	rnapol	232
50.999158	phi1	0
50.999158	proteinX	195
50.999158	proteinY	130
50.999158	rbs	265
50.999158	ribosome	3
50.999158	rnapol	242
51.999005	phi1	0
51.999005	proteinX	198
51.999005	proteinY	134
51.999005	rbs	274
51.999005	ribosome	3
51.999005	rnapol	247
52.999314	phi1	0
52.999314	proteinX	202
52.999314	proteinY	141
52.999314	rbs	276
52.999314	ribosome	5
52.999314	rnapol	260
53.999099	phi1	0
53.999099	proteinX	207
53.999099	proteinY	146
53.999099	rbs	287
53.999099	ribosome	1
53.999099	rnapol	264
54.999271	phi1	0
54.999271	proteinX	213
54.999271	proteinY	151
54.999271	rbs	294
54.999271	ribosome	3
54.999271	rnapol	272
55.999613	phi1	0
55.999613	proteinX	217
55.999613	proteinY	156
55.999613	rbs	304
55.999613	ribosome	2
55.999613	rnapol	276
56.999456	phi1	0
56.999456	proteinX	224
56.999456	proteinY	160
56.999456	rbs	306
56.999456	ribosome	5
56.999456	rnapol	283
57.999253	phi1	0
57.999253	proteinX	228
57.999253	proteinY	166
57.999253	rbs	315
57.999253	ribosome	0
57.999253	rnapol	287
58.999291	phi1	0
58.999291	proteinX	233
58.999291	proteinY	167
58.999291	rbs	319
58.999291	ribosome	5
58.999291	rnapol	296
59.999139	phi1	0
59.999139	proteinX	238
59.999139	proteinY	172
59.999139	rbs	327
59.999139	ribosome	4
59.999139	rnapol	300
